Timestamp,En que ciudad te encuentras?,Que edad tienes,Cuál es el código postal desde donde sueles hacer tus pedidos de comida? (de tu domicilio o de tu trabajo),"Para tu comida de medio día, la mayoría de las veces...",Qué tan frecuente pides comida a domicilio?,"Cuando haces pedido de comida, qué tipo de comida sueles pedir?",Como te enteras del menú de la fondita o comida corrida cercana?,Cuál es el medio por el que haces tus pedidos?,Que es lo más difícil de hacer el pedido por este medio? ,Tus pedidos....,Avisan a que hora quieres recibir tu comida?,Normalmente como haces el pago de tu pedido?,"Te cobran extra, si es un pedido a domicilio?",Cuál es el límite de entrega (en cuadras a la redonda del negocio de comidas)?,Te gustaría conocer más locales de comida en tu colonia o delegación?,Quien lleva y entrega el pedido?,Han habido ocasiones en que no encuentran la dirección de entrega? Que es lo que haces en ese caso?,"Algún otro comentario, o limitación que tengas para poder conocer las alternativas de comida y hacer pedidos en tu colonia/delegación?"
2/18/2021 12:37:50,Guadalajara ,,,Preparas tu comida en casa,1 a 2 veces por semana,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",Visitas el lugar y pides el menú del día,Teléfono,,Pides que te lo envíen a tu domicilio,Llegan despúes de haber hecho el pedido,Contra entrega en efectivo,Si,10 cuadras,Sí,Existe una persona exclusiva que hace las entregas,Pido en otro lugar,Les falta difusión a los negocios locales
2/18/2021 12:38:07,Guadalajara,,,Preparas tu comida en casa,3 a 5 veces por semana,"Antojitos mexicanos (tacos, gorditas, quesadillas, etc), Comida rápida (hamburguesas, hotdogs, alitas, etc)",Visitas el lugar y pides el menú del día,"Visitan el local para hacer el pedido, APP móvil",,Los recoges en el lugar,Sí,Contra entrega en efectivo,Si,10 cuadras,Sí,"Existe una persona exclusiva que hace las entregas, UBER EATS, DIDI Food",Voy al lugar,Horarios
2/18/2021 12:47:07,Tlaquepaque Jalisco,,45540,Preparas tu comida en casa,1 a 2 veces al mes,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",Visitas el lugar y pides el menú del día,Teléfono,,Pides que te lo envíen a tu trabajo,Sí,Contra entrega en efectivo,No,,Sí,"Repartidores, contratados ","Si, ellos marcan y piden indicaciones bien de cómo llegar",No
2/18/2021 12:49:19,Guadalajara ,,44648,Preparas tu comida en casa,1 a 2 veces al mes,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",Visitas el lugar y pides el menú del día,"Teléfono, Visitan el local para hacer el pedido, APP móvil",,Pides que te lo envíen a tu domicilio,Sí,Tarjeta de debito / credito,Si,,Sí,"Existe una persona exclusiva que hace las entregas, UBER EATS, DIDI Food",Salgo y le chiflo,
2/18/2021 12:49:34,guadalajara,,44700,Preparas tu comida en casa,1 a 2 veces al mes,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",Página web,"Teléfono, APP móvil",,Pides que te lo envíen a tu domicilio,Llegan despúes de haber hecho el pedido,"Contra entrega en efectivo, Tarjeta de debito / credito",Si,10 cuadras,Sí,"UBER EATS, DIDI Food",,
2/18/2021 12:59:47,Zapopan,,45190,Preparas tu comida en casa,1 a 2 veces por semana,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",Facebook,APP móvil,,Pides que te lo envíen a tu domicilio,Sí,Tarjeta de debito / credito,Si,10 cuadras,Sí,UBER EATS,No,ninguno 
2/18/2021 14:22:33,Guadalajara,Entre 18 y 28 años de edad,44870,Preparas tu comida en casa,1 a 2 veces por semana,"Desayunos, Comida rápida (hamburguesas, hotdogs, alitas, etc)",WhatsApp,Teléfono,,Pides que te lo envíen a tu domicilio,Llegan despúes de haber hecho el pedido,"Contra entrega en efectivo, Tarjeta de debito / credito",Si,8 cuadras,Sí,"Uno de los meseros o meseras, UBER EATS, DIDI Food",No.,Conocer calificaciones de los locales cercanos sería de mucha ayuda para saber en dónde pedir.
2/18/2021 15:40:41,Tonalá,Entre 18 y 28 años de edad,45402,Preparas tu comida en casa,1 a 2 veces por semana,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",Visitas el lugar y pides el menú del día,APP móvil,,Pides que te lo envíen a tu domicilio,Llegan despúes de haber hecho el pedido,Tarjeta de debito / credito,Si,10 cuadras,Sí,DIDI Food,Me marcan para preguntar por indicaciones,
2/18/2021 17:12:32,Guadalajara,Entre 18 y 28 años de edad,45402,Comes fuera de casa / trabajo,1 a 2 veces por semana,"Comida corrida / Comida a medio día, Antojitos mexicanos (tacos, gorditas, quesadillas, etc), Comida rápida (hamburguesas, hotdogs, alitas, etc)",Página web,"WhatsApp, APP móvil",,Pides que te lo envíen a tu trabajo,No,Tarjeta de debito / credito,No,8 cuadras,Sí,"Existe una persona exclusiva que hace las entregas, UBER EATS, DIDI Food",No,No
2/18/2021 17:12:52,Ciudad de México ,Entre 18 y 28 años de edad,02800,Preparas tu comida en casa,1 a 2 veces por semana,"Antojitos mexicanos (tacos, gorditas, quesadillas, etc), Comida rápida (hamburguesas, hotdogs, alitas, etc)",Visitas el lugar y pides el menú del día,"Teléfono, Visitan el local para hacer el pedido",,Los recoges en el lugar,Llegan despúes de haber hecho el pedido,Contra entrega en efectivo,Si,5 cuadras,Sí,Existe una persona exclusiva que hace las entregas,Se comunican conmigo para preguntar,Ninguna 
2/18/2021 19:15:23,Guadalajara Jalisco,Entre 18 y 28 años de edad,44820,Preparas tu comida en casa,1 a 2 veces al mes,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",Página web,Teléfono,,Pides que te lo envíen a tu domicilio,Llegan despúes de haber hecho el pedido,Contra entrega en efectivo,No,5 - 10Km,Sí,Depende,,
2/18/2021 19:40:39,Ciudad de México ,Entre 29 y 39 años de edad,53390,Preparas tu comida en casa,1 a 2 veces al mes,"Antojitos mexicanos (tacos, gorditas, quesadillas, etc), Comida rápida (hamburguesas, hotdogs, alitas, etc), Postres / dulces",WhatsApp,"WhatsApp, APP móvil",,Pides que te lo envíen a tu domicilio,Llegan despúes de haber hecho el pedido,Tarjeta de debito / credito,Si,10 cuadras,Sí,"Existe una persona exclusiva que hace las entregas, UBER EATS, DIDI Food",Dejo mi número de celular para queme llamen,
2/18/2021 19:44:53,CDMX,Entre 29 y 39 años de edad,06200,Preparas tu comida en casa,1 a 2 veces al mes,"Comida corrida / Comida a medio día, Antojitos mexicanos (tacos, gorditas, quesadillas, etc), Comida rápida (hamburguesas, hotdogs, alitas, etc), Postres / dulces",WhatsApp,"WhatsApp, Visitan el local para hacer el pedido, APP móvil",,Pides que te lo envíen a tu domicilio,Sí,"Contra entrega en efectivo, Tarjeta de debito / credito, Transferencia bancaria",Si,10 cuadras,Sí,"Uno de los meseros o meseras, Existe una persona exclusiva que hace las entregas, UBER EATS, DIDI Food",Llaman al celular,
2/18/2021 19:50:31,Ciudad de México,Entre 40 y 50 años de edad,14390,Comes fuera de casa / trabajo,3 a 5 veces por semana,Comida corrida / Comida a medio día,WhatsApp,WhatsApp,,Pides que te lo envíen a tu trabajo,Sí,Contra entrega en efectivo,No,5 cuadras,Sí,Existe una persona exclusiva que hace las entregas,Llamar y darles más referencias para que puedan llegar ,Que no puedo salír mucho de mi centro de trabajo 
2/18/2021 19:52:21,Ciudad de México ,Entre 29 y 39 años de edad,01430,Preparas tu comida en casa,1 a 2 veces al mes,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",Página web,Teléfono,,Pides que te lo envíen a tu domicilio,Sí,Contra entrega en efectivo,No,8 cuadras,Sí,Uno de los meseros o meseras,,"Algunos lugares no tienen el
Suficiente personal para las entregas lo que genera un tiempo de
Espera más largo "
2/18/2021 19:52:25,Estado de México ,Entre 29 y 39 años de edad,54744,Pides comida a alguna fondita o restaurant cercano,3 a 5 veces por semana,"Comida corrida / Comida a medio día, Antojitos mexicanos (tacos, gorditas, quesadillas, etc), Comida rápida (hamburguesas, hotdogs, alitas, etc)",WhatsApp,Teléfono,,Los recoges en el lugar,No,Tarjeta de debito / credito,Si,10 cuadras,Sí,"El dueño del lugar de comidas, Uno de los meseros o meseras, UBER EATS",No,
2/18/2021 19:57:30,Ciudad de México ,Entre 40 y 50 años de edad,01740,Preparas tu comida en casa,1 a 2 veces por semana,"Antojitos mexicanos (tacos, gorditas, quesadillas, etc), Comida rápida (hamburguesas, hotdogs, alitas, etc), Postres / dulces",Visitas el lugar y pides el menú del día,APP móvil,,Pides que te lo envíen a tu domicilio,Llegan despúes de haber hecho el pedido,Tarjeta de debito / credito,Si,10 cuadras,Sí,UBER EATS,Me llaman y les explico la dirección ,
2/18/2021 19:58:54,Estado de México ,Entre 29 y 39 años de edad,54800,Preparas tu comida en casa,1 a 2 veces por semana,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",WhatsApp,WhatsApp,,Pides que te lo envíen a tu domicilio,Sí,Contra entrega en efectivo,No,10 cuadras,Sí,Existe una persona exclusiva que hace las entregas,Enviar ubicación por WhatsApp,No
2/18/2021 20:00:21,Benito Juárez,Entre 40 y 50 años de edad,03023,Pides comida a alguna fondita o restaurant cercano,Nunca,Comida corrida / Comida a medio día,WhatsApp,WhatsApp,,Los recoges en el lugar,No,Tarjeta de debito / credito,Si,10 cuadras,No,Uno de los meseros o meseras,No,Mejorar la calidad de los platillos en cuanto a cantidad de grasas y presentación
2/18/2021 20:03:30,Queretaro ,Entre 29 y 39 años de edad,76090,Preparas tu comida en casa,1 a 2 veces por semana,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",WhatsApp,WhatsApp,,Pides que te lo envíen a tu domicilio,No,Contra entrega en efectivo,Si,10 cuadras,Sí,Existe una persona exclusiva que hace las entregas,Si,
2/18/2021 20:03:41,CDMX,Entre 29 y 39 años de edad,05120,Preparas tu comida en casa,1 a 2 veces por semana,"Comida rápida (hamburguesas, hotdogs, alitas, etc), Sushi",Instagram,APP móvil,,Pides que te lo envíen a tu domicilio,Sí,Tarjeta de debito / credito,Si,10 cuadras,Sí,UBER EATS,No,
2/18/2021 20:05:12,Puebla,Entre 40 y 50 años de edad,72170,Preparas tu comida en casa,1 a 2 veces por semana,"Comida corrida / Comida a medio día, Antojitos mexicanos (tacos, gorditas, quesadillas, etc), Comida rápida (hamburguesas, hotdogs, alitas, etc)",WhatsApp,WhatsApp,,Pides que te lo envíen a tu domicilio,Sí,Contra entrega en efectivo,Si,10 cuadras,Sí,"Uno de los meseros o meseras, Existe una persona exclusiva que hace las entregas, UBER EATS, DIDI Food",Les indico por donde vía telefónica.,"Que se apeguen a un modelo de economía social que es similar al de una cooperativa, pero con ingresos de acuerdo a su esfuerzo y desempeño!!"
2/18/2021 20:05:38,Edomex ,Entre 40 y 50 años de edad,5532525310,Pides comida a alguna fondita o restaurant cercano,1 a 2 veces al mes,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",WhatsApp,WhatsApp,,Pides que te lo envíen a tu domicilio,Sí,Contra entrega en efectivo,Si,5 cuadras,Sí,El dueño del lugar de comidas,Mandar ubicación y dar referencias ,
2/18/2021 20:07:03,Estado de México ,Entre 29 y 39 años de edad,54750,Preparas tu comida en casa,1 a 2 veces al mes,"Antojitos mexicanos (tacos, gorditas, quesadillas, etc), Comida rápida (hamburguesas, hotdogs, alitas, etc)",Visitas el lugar y pides el menú del día,WhatsApp,,Pides que te lo envíen a tu domicilio,Sí,Contra entrega en efectivo,No,10 cuadras,Sí,UBER EATS,No,Ninguna
2/18/2021 20:07:04,México,Entre 18 y 28 años de edad,54715,Preparas tu comida en casa,3 a 5 veces por mes,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",Página web,APP móvil,,Pides que te lo envíen a tu domicilio,Sí,Tarjeta de debito / credito,Si,10 cuadras,Sí,"Existe una persona exclusiva que hace las entregas, UBER EATS",Poner un punto de referencia conocido e ir guiando,"Muchas veces no hay servicio hasta mi casa, así que pongo una dirección cercana y le doy un extra al repartidor por llegar hasta mi domicilio"
2/18/2021 20:08:10,Cuautitlan izcalli,Entre 40 y 50 años de edad,54715,Preparas tu comida en casa,3 a 5 veces por mes,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",Facebook,WhatsApp,,Pides que te lo envíen a tu domicilio,Sí,Contra entrega en efectivo,Si,10 cuadras,Sí,UBER EATS,N/A,N/A
2/18/2021 20:10:29,Monterrey ,Entre 29 y 39 años de edad,66362,Preparas tu comida en casa,1 a 2 veces al mes,"Comida rápida (hamburguesas, hotdogs, alitas, etc), Postres / dulces",Instagram,APP móvil,,Pides que te lo envíen a tu domicilio,Sí,Tarjeta de debito / credito,Si,3 o 4 km,Sí,DIDI Food,Escribir al chat de la aplicación directamente y comunicarme con el repartidor , Que no lleguen a mi domicilio 
2/18/2021 20:11:05,Edo Mexico,Entre 29 y 39 años de edad,54730,Pides comida a alguna fondita o restaurant cercano,1 a 2 veces por semana,Comida corrida / Comida a medio día,WhatsApp,"Teléfono, WhatsApp",,Pides que te lo envíen a tu domicilio,Llegan despúes de haber hecho el pedido,Contra entrega en efectivo,No,10 cuadras,Sí,"El dueño del lugar de comidas, Uno de los meseros o meseras, Existe una persona exclusiva que hace las entregas, UBER EATS, DIDI Food",Les marco,
2/18/2021 20:11:35,CDMX,Entre 29 y 39 años de edad,02760,Preparas tu comida en casa,1 a 2 veces por semana,"Desayunos, Comida corrida / Comida a medio día, Antojitos mexicanos (tacos, gorditas, quesadillas, etc)",WhatsApp,"Teléfono, WhatsApp, APP móvil",,Pides que te lo envíen a tu domicilio,No,Tarjeta de debito / credito,No,3 cuadras,Sí,"Existe una persona exclusiva que hace las entregas, UBER EATS, DIDI Food",Siempre la encuentran,El menú a veces no está pensado en los que tenemos niños pequeños
2/18/2021 20:11:37,Cuautitlán izcalli,Entre 29 y 39 años de edad,54715,Comes fuera de casa / trabajo,1 a 2 veces por semana,Comida corrida / Comida a medio día,Visitas el lugar y pides el menú del día,Teléfono,,Pides que te lo envíen a tu trabajo,No,Tarjeta de debito / credito,Si,10 cuadras,Sí,"Existe una persona exclusiva que hace las entregas, UBER EATS",,
2/18/2021 20:11:57,Metepec,Entre 29 y 39 años de edad,52154,Preparas tu comida en casa,1 a 2 veces al mes,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",Visitas el lugar y pides el menú del día,WhatsApp,,Los recoges en el lugar,Sí,"Contra entrega en efectivo, Tarjeta de debito / credito",Si,8 cuadras,Sí,"Uno de los meseros o meseras, UBER EATS",Les mando un mensaje por WhatsApp ,"Algunos de los pequeños negocios no están en la plataformas o no tienen la ""imagen"" de un negocio más consolidado por lo que pudiera generar un poco de desconfianza la entrega y/o preparación de los alimentos. "
2/18/2021 20:12:39,Querétaro ,Entre 29 y 39 años de edad,76240,Preparas tu comida en casa,1 a 2 veces por semana,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",WhatsApp,WhatsApp,,Pides que te lo envíen a tu domicilio,Sí,Contra entrega en efectivo,Si,10 cuadras,Sí,Existe una persona exclusiva que hace las entregas,Me marcan ,Pues que pusieran mas negocios
2/18/2021 20:13:29,Ciudad de México ,Entre 40 y 50 años de edad,02100,Preparas tu comida en casa,3 a 5 veces por mes,Pizzas ,Visitas el lugar y pides el menú del día,APP móvil,,Pides que te lo envíen a tu domicilio,Llegan despúes de haber hecho el pedido,Contra entrega en efectivo,No,10 cuadras,Sí,Existe una persona exclusiva que hace las entregas,Les llamo por teléfono n,No
2/18/2021 20:13:37,Cuautitlán Izcalli,Entre 29 y 39 años de edad,54740,Preparas tu comida en casa,1 a 2 veces por semana,"Comida corrida / Comida a medio día, Antojitos mexicanos (tacos, gorditas, quesadillas, etc)",Instagram,"WhatsApp, APP móvil",,Pides que te lo envíen a tu domicilio,Sí,Tarjeta de debito / credito,Si,10 cuadras,Sí,"Existe una persona exclusiva que hace las entregas, UBER EATS, DIDI Food",Llamar ,
2/18/2021 20:15:21,Acapulco ,Entre 40 y 50 años de edad,06800,Pides comida a alguna fondita o restaurant cercano,1 a 2 veces al mes,"Antojitos mexicanos (tacos, gorditas, quesadillas, etc)",Página web,APP móvil,,Pides que te lo envíen a tu domicilio,No,Tarjeta de debito / credito,Si,10 cuadras,Sí,"UBER EATS, DIDI Food",No,No
2/18/2021 20:16:55,Queretaro,Entre 29 y 39 años de edad,94540,Cuando descanso,1 a 2 veces por semana,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",Visitas el lugar y pides el menú del día,WhatsApp,,Pides que te lo envíen a tu domicilio,No,Tarjeta de debito / credito,Si,8 cuadras,Sí,Existe una persona exclusiva que hace las entregas,Doy referencia exactas o les digo que me marquen para vernos en un punto cercano,Pues no tenemos cerca negocios de comida o de snacks
2/18/2021 20:17:53,Toluca,Entre 29 y 39 años de edad,50920,Preparas tu comida en casa,1 a 2 veces por semana,"Comida rápida (hamburguesas, hotdogs, alitas, etc), Postres / dulces",Facebook,WhatsApp,,Pides que te lo envíen a tu domicilio,Sí,Contra entrega en efectivo,No,10 cuadras,Sí,Existe una persona exclusiva que hace las entregas,Ir a un punto intermedio,
2/18/2021 20:19:31,Calimaya,Entre 40 y 50 años de edad,52220,Preparas tu comida en casa,1 a 2 veces al mes,"Comida rápida (hamburguesas, hotdogs, alitas, etc), Postres / dulces",WhatsApp,WhatsApp,,Pides que te lo envíen a tu domicilio,Sí,Transferencia bancaria,No,5 cuadras,Sí,Uno de los meseros o meseras,Na,"Por la zona en la que me encuentro, solo se de estos negocios a través de grupos en WhatsApp"
2/18/2021 20:20:41,CDMX,Entre 29 y 39 años de edad,01470,Preparas tu comida en casa,1 a 2 veces por semana,"Desayunos, Comida corrida / Comida a medio día, Antojitos mexicanos (tacos, gorditas, quesadillas, etc), Comida rápida (hamburguesas, hotdogs, alitas, etc), Postres / dulces",WhatsApp,WhatsApp,,Pides que te lo envíen a tu domicilio,Sí,Contra entrega en efectivo,No,No hay,Sí,"Existe una persona exclusiva que hace las entregas, UBER EATS","Ya ubican, al principio doy referencia un laboratorio lapi",Que solo sea efectivo
2/18/2021 20:22:25,Tlalnepantla de Baz,Entre 29 y 39 años de edad,54023,Preparas tu comida en casa,1 a 2 veces por semana,"Comida corrida / Comida a medio día, Comida rápida (hamburguesas, hotdogs, alitas, etc), Cenas",Página web,"Teléfono, WhatsApp",,Pides que te lo envíen a tu domicilio,Sí,"Contra entrega en efectivo, Tarjeta de debito / credito",Si,Han venido de 10 min de mi domicilio,Sí,Dueño o mensajeros,Llaman y piden ubicación,Que no tengan menu
2/18/2021 20:23:56,Cuautitlan Izcalli,Entre 29 y 39 años de edad,54750,Preparas tu comida en casa,3 a 5 veces por mes,"Antojitos mexicanos (tacos, gorditas, quesadillas, etc), Comida rápida (hamburguesas, hotdogs, alitas, etc)",Página web,Uber eats,,Pides que te lo envíen a tu domicilio,Llegan despúes de haber hecho el pedido,Pago en la app,Si,10 cuadras,Sí,UBER EATS,Me marcan,
2/18/2021 20:24:46,Toluca,Entre 40 y 50 años de edad,50920,Preparas tu comida en casa,1 a 2 veces al mes,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",Facebook,WhatsApp,,Pides que te lo envíen a tu domicilio,Llegan despúes de haber hecho el pedido,Contra entrega en efectivo,No,5 cuadras,Sí,Existe una persona exclusiva que hace las entregas,Ubicación,Ninguna
2/18/2021 20:25:28,CDMX,Entre 40 y 50 años de edad,11200,Pides comida a alguna fondita o restaurant cercano,1 a 2 veces por semana,"Comida corrida / Comida a medio día, Antojitos mexicanos (tacos, gorditas, quesadillas, etc), Postres / dulces",WhatsApp,Teléfono,,Pides que te lo envíen a tu domicilio,Sí,Contra entrega en efectivo,No,5 cuadras,Sí,Uno de los meseros o meseras,Hablar y dar más indicaciones ,
2/18/2021 20:26:34,Cdmx,Entre 29 y 39 años de edad,04939,Pides comida a alguna fondita o restaurant cercano,3 a 5 veces por semana,"Comida corrida / Comida a medio día, Antojitos mexicanos (tacos, gorditas, quesadillas, etc), Comida rápida (hamburguesas, hotdogs, alitas, etc)",WhatsApp,"Teléfono, WhatsApp, Visitan el local para hacer el pedido, APP móvil",,Pides que te lo envíen a tu domicilio,Llegan despúes de haber hecho el pedido,Tarjeta de debito / credito,Si,⁸,Sí,"Existe una persona exclusiva que hace las entregas, UBER EATS, DIDI Food",No ha pasado,
2/18/2021 20:26:43,Cdmx,Entre 40 y 50 años de edad,06140,Preparas tu comida en casa,1 a 2 veces por semana,"Antojitos mexicanos (tacos, gorditas, quesadillas, etc), Comida rápida (hamburguesas, hotdogs, alitas, etc)",WhatsApp,WhatsApp,,Pides que te lo envíen a tu domicilio,Llegan despúes de haber hecho el pedido,"Tarjeta de debito / credito, Transferencia bancaria",No,10 cuadras,Sí,"El dueño del lugar de comidas, Uno de los meseros o meseras",Nos comunicamos por teléfono ,
2/18/2021 20:26:59,Queretaro,Entre 29 y 39 años de edad,76910,Preparas tu comida en casa,1 a 2 veces por semana,"Antojitos mexicanos (tacos, gorditas, quesadillas, etc)",Visitas el lugar y pides el menú del día,"Teléfono, WhatsApp",,Los recoges en el lugar,Llegan despúes de haber hecho el pedido,"Contra entrega en efectivo, Tarjeta de debito / credito",Si,3 cuadras,Sí,El dueño del lugar de comidas,,
2/18/2021 20:27:51,Toluca,Entre 29 y 39 años de edad,54948,Preparas tu comida en casa,1 a 2 veces al mes,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",Facebook,WhatsApp,,Pides que te lo envíen a tu domicilio,Sí,Contra entrega en efectivo,No,,Sí,Existe una persona exclusiva que hace las entregas,,
2/18/2021 20:28:03,CDMX. Delegación Tláhuac,Entre 40 y 50 años de edad,13250,Preparas tu comida en casa,1 a 2 veces al mes,"Antojitos mexicanos (tacos, gorditas, quesadillas, etc)",WhatsApp,WhatsApp,,Pides que te lo envíen a tu domicilio,Llegan despúes de haber hecho el pedido,Contra entrega en efectivo,No,10 cuadras,Sí,Existe una persona exclusiva que hace las entregas,Llaman a mi cel,
2/18/2021 20:29:00,Aguascalientes,Entre 29 y 39 años de edad,20328,Preparas tu comida en casa,1 a 2 veces al mes,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",Visitas el lugar y pides el menú del día,Visitan el local para hacer el pedido,,Los recoges en el lugar,Sí,Tarjeta de debito / credito,No,10 cuadras,Sí,Existe una persona exclusiva que hace las entregas,Les hablo por teléfono para dar instrucciones,
2/18/2021 20:29:44,Ciudad de México,Entre 40 y 50 años de edad,09630,Comes fuera de casa / trabajo,Nunca,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",Visitas el lugar y pides el menú del día,Teléfono,,Pides que te lo envíen a tu domicilio,Sí,Contra entrega en efectivo,Si,10 cuadras,Sí,Uno de los meseros o meseras,,
2/18/2021 20:33:12,CDMX,Entre 29 y 39 años de edad,08500,Pides comida a alguna fondita o restaurant cercano,3 a 5 veces por semana,Comida corrida / Comida a medio día,SMS,Teléfono,,Pides que te lo envíen a tu domicilio,Sí,Contra entrega en efectivo,No,10 cuadras,Sí,Existe una persona exclusiva que hace las entregas,Siempre allegado mi comida,
2/18/2021 20:36:38,Cuautitlan izcalli,Entre 29 y 39 años de edad,54715,Preparas tu comida en casa,1 a 2 veces al mes,"Comida corrida / Comida a medio día, Comida rápida (hamburguesas, hotdogs, alitas, etc)",Página web,APP móvil,,Pides que te lo envíen a tu domicilio,Llegan despúes de haber hecho el pedido,"Contra entrega en efectivo, Tarjeta de debito / credito",Si,10 cuadras,Sí,"Existe una persona exclusiva que hace las entregas, UBER EATS",Los oriento vía telefónica, Pocos restaurantes se registran en ubereats 
2/18/2021 20:37:49,CDMX,Entre 29 y 39 años de edad,14643,Preparas tu comida en casa,1 a 2 veces por semana,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",Facebook,WhatsApp,,Los recoges en el lugar,Sí,Contra entrega en efectivo,Si,10 cuadras,Sí,Existe una persona exclusiva que hace las entregas,Guiar por llamada telefónica ,Son pocas las opciones 
