Timestamp,En que ciudad te encuentras?,Que edad tienes,Cuál es el código postal desde donde sueles hacer tus pedidos de comida? (de tu domicilio o de tu trabajo),"Para tu comida de medio día, la mayoría de las veces...",Qué tan frecuente pides comida a domicilio?,"Cuando haces pedido de comida, qué tipo de comida sueles pedir?",Como te enteras del menú de la fondita o comida corrida cercana?,Cuál es el medio por el que haces tus pedidos?,Que es lo más difícil de hacer el pedido por este medio? ,Tus pedidos....,Avisan a que hora quieres recibir tu comida?,Normalmente como haces el pago de tu pedido?,"Te cobran extra, si es un pedido a domicilio?",Cuál es el límite de entrega (en cuadras a la redonda del negocio de comidas)?,Te gustaría conocer más locales de comida en tu colonia o delegación?,Quien lleva y entrega el pedido?,Han habido ocasiones en que no encuentran la dirección de entrega? Que es lo que haces en ese caso?,"Algún otro comentario, o limitación que tengas para poder conocer las alternativas de comida y hacer pedidos en tu colonia/delegación?"
2/19/2021 8:22:20,CDMX,Entre 29 y 39 años de edad,15900,Preparas tu comida en casa,3 a 5 veces por semana,"Comida corrida / Comida a medio día, Comida rápida (hamburguesas, hotdogs, alitas, etc), Postres / dulces",WhatsApp,"WhatsApp, APP móvil",Tardan en contestar,Pides que te lo envíen a tu trabajo,Sí,"Contra entrega en efectivo, Tarjeta de debito / credito, Transferencia bancaria",No,10 cuadras,Sí,"El dueño del lugar de comidas, Existe una persona exclusiva que hace las entregas",,
2/19/2021 8:26:16,"MEXICO DF, DISTRITO FEDERAL",Entre 40 y 50 años de edad,11870,Preparas tu comida en casa,1 a 2 veces al mes,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",Visitas el lugar y pides el menú del día,APP móvil,Muchos detalles ,Pides que te lo envíen a tu domicilio,Sí,Tarjeta de debito / credito,Si,10 cuadras,Sí,Existe una persona exclusiva que hace las entregas,Llaman,Es costosa
2/19/2021 8:35:35,Cuautitlán Izclli,Entre 40 y 50 años de edad,54767,Preparas tu comida en casa,1 a 2 veces por semana,"Antojitos mexicanos (tacos, gorditas, quesadillas, etc), Comida rápida (hamburguesas, hotdogs, alitas, etc)",WhatsApp,"WhatsApp, APP móvil",No es dificil,Pides que te lo envíen a tu domicilio,Sí,"Tarjeta de debito / credito, Transferencia bancaria",Si,No hay límite de entrega ,Sí,"Existe una persona exclusiva que hace las entregas, UBER EATS",Me marcan y los guio,
2/19/2021 8:38:25,Cuautitlán Izcalli,Entre 40 y 50 años de edad,54740,Preparas tu comida en casa,1 a 2 veces al mes,"Antojitos mexicanos (tacos, gorditas, quesadillas, etc)",Visitas el lugar y pides el menú del día,"Teléfono, Visitan el local para hacer el pedido",Ninguno ,Pides que te lo envíen a tu domicilio,No,Contra entrega en efectivo,No,No sé ,Sí,Existe una persona exclusiva que hace las entregas,No,Ningún problema 
2/19/2021 8:40:55,México,Entre 40 y 50 años de edad,14400,Comes fuera de casa / trabajo,3 a 5 veces por semana,"Comida corrida / Comida a medio día, Antojitos mexicanos (tacos, gorditas, quesadillas, etc), Comida rápida (hamburguesas, hotdogs, alitas, etc)",WhatsApp,Teléfono,"No me entienden, No me escuchan bien",Pides que te lo envíen a tu domicilio,Llegan despúes de haber hecho el pedido,Tarjeta de debito / credito,No,10 cuadras,Sí,"Uno de los meseros o meseras, Existe una persona exclusiva que hace las entregas, UBER EATS, DIDI Food",No,No
2/19/2021 8:42:42,Querétaro,Entre 18 y 28 años de edad,76000,Pides comida a alguna fondita o restaurant cercano,1 a 2 veces por semana,Comida corrida / Comida a medio día,Facebook,"WhatsApp, APP móvil","Hay que escribir mucho, No me entienden",Pides que te lo envíen a tu domicilio,Sí,Tarjeta de debito / credito,Si,8 cuadras,Sí,"Uno de los meseros o meseras, UBER EATS",Se me reembolsa el dinero y me preparo algo rápido o compro comida chatarra. ,
2/19/2021 8:46:29,Cuautitlan izcalli,Entre 29 y 39 años de edad,54744,Pides comida a alguna fondita o restaurant cercano,3 a 5 veces por semana,"Antojitos mexicanos (tacos, gorditas, quesadillas, etc), Comida rápida (hamburguesas, hotdogs, alitas, etc)",WhatsApp,"Teléfono, WhatsApp",Se tardan en ver el whatsapp,Los recoges en el lugar,Llegan despúes de haber hecho el pedido,"Contra entrega en efectivo, contraentrega ya sea en efectivo o tarjeta",No,10 cuadras,Sí,Existe una persona exclusiva que hace las entregas,no,.
2/19/2021 8:47:23,Cdmx,Entre 40 y 50 años de edad,11560,Pides comida a alguna fondita o restaurant cercano,1 a 2 veces por semana,Comida corrida / Comida a medio día,WhatsApp,WhatsApp,No me entienden,Pides que te lo envíen a tu domicilio,Llegan despúes de haber hecho el pedido,Contra entrega en efectivo,Si,8 cuadras,Sí,Existe una persona exclusiva que hace las entregas,No,
2/19/2021 8:54:34,Jalisco ,Entre 29 y 39 años de edad,11520,Pides comida a alguna fondita o restaurant cercano,3 a 5 veces por semana,Comida corrida / Comida a medio día,WhatsApp,WhatsApp,Hay que escribir mucho,Pides que te lo envíen a tu domicilio,Llegan despúes de haber hecho el pedido,"Contra entrega en efectivo, Tarjeta de debito / credito",No,No se ,No,Existe una persona exclusiva que hace las entregas,No se ,No
2/19/2021 8:54:45,Tultitlán,Entre 29 y 39 años de edad,54945,Preparas tu comida en casa,1 a 2 veces por semana,"Antojitos mexicanos (tacos, gorditas, quesadillas, etc), Comida rápida (hamburguesas, hotdogs, alitas, etc), Postres / dulces",Facebook,"Teléfono, WhatsApp, Messenger",Tiempo de respuesta,Pides que te lo envíen a tu domicilio,No,Contra entrega en efectivo,No,10 cuadras,Sí,"El dueño del lugar de comidas, Uno de los meseros o meseras",Mandar mi ubicación,Los que no se publican en Facebook no se dan a conocer tanto
2/19/2021 9:07:02,Aguascalientes,Entre 18 y 28 años de edad,20118,Preparas tu comida en casa,3 a 5 veces por mes,"Desayunos, Comida corrida / Comida a medio día",Facebook,APP móvil,Muchas veces la comunicación no es buena,Pides que te lo envíen a tu domicilio,Llegan despúes de haber hecho el pedido,Tarjeta de debito / credito,Si,10 cuadras,Sí,UBER EATS,Pongo una descripción de mi ubicación,
2/19/2021 9:35:44,CDMX,Entre 29 y 39 años de edad,11410,Pides comida a alguna fondita o restaurant cercano,3 a 5 veces por semana,"Desayunos, Antojitos mexicanos (tacos, gorditas, quesadillas, etc)",WhatsApp,Uber Eats,Uber Eats funciona bien ,Pides que te lo envíen a tu domicilio,Sí,Tarjeta de debito / credito,Si,Cobertura de Uber Eats es amplia ,Sí,UBER EATS,Marco o me marcan para avisar ,
2/19/2021 9:36:53,"Corregidora, Querétaro",Entre 40 y 50 años de edad,76908,Comes fuera de casa / trabajo,1 a 2 veces al mes,"Antojitos mexicanos (tacos, gorditas, quesadillas, etc)",Visitas el lugar y pides el menú del día,Teléfono,No me escuchan bien,Los recoges en el lugar,Sí,Contra entrega en efectivo,No,10 cuadras,Sí,Existe una persona exclusiva que hace las entregas,Si lo encuentran,No
2/19/2021 9:37:46,Cuautitlan Izcalli,Entre 29 y 39 años de edad,54740,Preparas tu comida en casa,1 a 2 veces por semana,"Antojitos mexicanos (tacos, gorditas, quesadillas, etc)",Visitas el lugar y pides el menú del día,Teléfono,No me entienden,Pides que te lo envíen a tu domicilio,No,Contra entrega en efectivo,Si,10 cuadras,Sí,"Uno de los meseros o meseras, Existe una persona exclusiva que hace las entregas",,
2/19/2021 9:45:40,Tlalnepantla,Entre 29 y 39 años de edad,54070,Preparas tu comida en casa,1 a 2 veces al mes,Comida corrida / Comida a medio día,Visitas el lugar y pides el menú del día,APP móvil,Hay que escribir mucho,Pides que te lo envíen a tu domicilio,Llegan despúes de haber hecho el pedido,Tarjeta de debito / credito,Si,10 cuadras,Sí,UBER EATS,No,No
2/19/2021 9:53:06,06 - Ciudad de México,mas de 50 años de edad,06470,Pides comida a alguna fondita o restaurant cercano,1 a 2 veces por semana,Comida corrida / Comida a medio día,WhatsApp,Teléfono,ninguno,Pides que te lo envíen a tu domicilio,Llegan despúes de haber hecho el pedido,Contra entrega en efectivo,No,8 cuadras,Sí,Existe una persona exclusiva que hace las entregas,No siempre la encuentran,Ninguno
2/19/2021 10:03:09,Monterrey ,Entre 18 y 28 años de edad,64760,Preparas tu comida en casa,1 a 2 veces por semana,"Antojitos mexicanos (tacos, gorditas, quesadillas, etc), Comida rápida (hamburguesas, hotdogs, alitas, etc), Postres / dulces",Instagram,"WhatsApp, APP móvil",No me escuchan bien,Pides que te lo envíen a tu domicilio,Sí,Tarjeta de debito / credito,Si,5 km ,Sí,"Existe una persona exclusiva que hace las entregas, UBER EATS, RAPPI","No, realmente es muy sencillo llegar ",No
2/19/2021 10:05:02,Tijuana,Entre 29 y 39 años de edad,22044,Preparas tu comida en casa,1 a 2 veces por semana,"Desayunos, Comida rápida (hamburguesas, hotdogs, alitas, etc)",Visitas el lugar y pides el menú del día,"WhatsApp, APP móvil",mal servicio al cliente,Pides que te lo envíen a tu domicilio,Sí,Tarjeta de debito / credito,Si,10 cuadras,No,UBER EATS,,
2/19/2021 10:07:25,playa del carmen,Entre 18 y 28 años de edad,77710,Preparas tu comida en casa,3 a 5 veces por semana,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",Instagram,WhatsApp,No me entienden,Pides que te lo envíen a tu domicilio,Llegan despúes de haber hecho el pedido,Contra entrega en efectivo,Si,10 cuadras,Sí,"Existe una persona exclusiva que hace las entregas, Rappi",,Aveces no cuentan con whatsapp y es difícil guiarlo sin enviar la ubicación 
2/19/2021 10:26:23,Mexico City,Entre 29 y 39 años de edad,52764,Preparas tu comida en casa,3 a 5 veces por semana,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",Visitas el lugar y pides el menú del día,"Teléfono, WhatsApp",Hay que escribir mucho,Pides que te lo envíen a tu domicilio,Sí,Contra entrega en efectivo,Si,No sé,No,"UBER EATS, DIDI Food",,
2/19/2021 10:35:56,Cancún ,Entre 29 y 39 años de edad,77525,Pides comida a alguna fondita o restaurant cercano,1 a 2 veces por semana,"Comida corrida / Comida a medio día, Antojitos mexicanos (tacos, gorditas, quesadillas, etc), Comida rápida (hamburguesas, hotdogs, alitas, etc)",Facebook,"Teléfono, WhatsApp",Hay que escribir mucho,Pides que te lo envíen a tu domicilio,Llegan despúes de haber hecho el pedido,"Contra entrega en efectivo, Tarjeta de debito / credito",Si,10 cuadras,Sí,"Existe una persona exclusiva que hace las entregas, UBER EATS",No,
2/19/2021 11:18:41,Ciudad de México ,Entre 29 y 39 años de edad,02800,Pides comida a alguna fondita o restaurant cercano,3 a 5 veces por semana,"Comida corrida / Comida a medio día, Comida rápida (hamburguesas, hotdogs, alitas, etc)",Visitas el lugar y pides el menú del día,Teléfono,No me entienden,Pides que te lo envíen a tu domicilio,Sí,Contra entrega en efectivo,Si,10 cuadras,Sí,"El dueño del lugar de comidas, Uno de los meseros o meseras, UBER EATS",Tengo que ir al lugar para recogerlo,
2/19/2021 11:45:43,Aguascalientes,Entre 29 y 39 años de edad,20119,Preparas tu comida en casa,1 a 2 veces por semana,"Comida rápida (hamburguesas, hotdogs, alitas, etc), Sushi y poke bowls ",Facebook,"Teléfono, WhatsApp, APP móvil",N/a,Pides que te lo envíen a tu domicilio,Llegan despúes de haber hecho el pedido,Tarjeta de debito / credito,Si,10 cuadras,Sí,"Uno de los meseros o meseras, Existe una persona exclusiva que hace las entregas, UBER EATS","Sí, hablar con el repartidor para explicarle ",
2/19/2021 11:55:58,Guadalajara ,Entre 29 y 39 años de edad,44870,Pides comida a alguna fondita o restaurant cercano,1 a 2 veces por semana,"Comida corrida / Comida a medio día, Comida rápida (hamburguesas, hotdogs, alitas, etc)",Facebook,WhatsApp,No me entienden,Pides que te lo envíen a tu domicilio,No,Contra entrega en efectivo,No,10 cuadras,Sí,Existe una persona exclusiva que hace las entregas,Llamo ,No
2/19/2021 12:02:54,cdmx,Entre 29 y 39 años de edad,01080,Preparas tu comida en casa,1 a 2 veces por semana,"Comida corrida / Comida a medio día, Comida rápida (hamburguesas, hotdogs, alitas, etc)",Visitas el lugar y pides el menú del día,APP móvil,Hay que escribir mucho,Pides que te lo envíen a tu domicilio,Llegan despúes de haber hecho el pedido,"Tarjeta de debito / credito, Transferencia bancaria",No,lo desconozco  ,Sí,UBER EATS,Me marcan por teléfono ,"No hay publicidad de negocios locales, siguen siendo las grandes marcas "
2/19/2021 12:07:09,Ciudad de México,Entre 29 y 39 años de edad,06140,Pides comida a alguna fondita o restaurant cercano,3 a 5 veces por semana,"Comida corrida / Comida a medio día, Comida rápida (hamburguesas, hotdogs, alitas, etc)",WhatsApp,APP móvil,Ninguno,Pides que te lo envíen a tu domicilio,Sí,Tarjeta de debito / credito,Si,3 cuadras,Sí,"Uno de los meseros o meseras, UBER EATS, DIDI Food",Mensaje de texto,
2/19/2021 12:17:07,Guadalajara,Entre 18 y 28 años de edad,45400,Preparas tu comida en casa,1 a 2 veces por semana,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",Visitas el lugar y pides el menú del día,"Teléfono, WhatsApp","Hay que escribir mucho, No me escuchan bien",Pides que te lo envíen a tu domicilio,No,Contra entrega en efectivo,Si,5 cuadras,Sí,Existe una persona exclusiva que hace las entregas,,
2/19/2021 13:16:10,Cuautitlán Izcalli,Entre 29 y 39 años de edad,54766,Preparas tu comida en casa,1 a 2 veces al mes,"Antojitos mexicanos (tacos, gorditas, quesadillas, etc), Comida rápida (hamburguesas, hotdogs, alitas, etc)",Facebook,"Teléfono, WhatsApp, Visitan el local para hacer el pedido",Hay que escribir mucho,Pides que te lo envíen a tu domicilio,Llegan despúes de haber hecho el pedido,"Contra entrega en efectivo, Tarjeta de debito / credito",No,8 cuadras,Sí,"Existe una persona exclusiva que hace las entregas, UBER EATS, DIDI Food",Dar indicaciones por telefono al repartidor,
2/19/2021 13:38:33,playa del carmen,Entre 40 y 50 años de edad,77710,Preparas tu comida en casa,1 a 2 veces por semana,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",Facebook,WhatsApp,Hay que escribir mucho,Pides que te lo envíen a tu domicilio,Sí,Tarjeta de debito / credito,Si,10 cuadras,Sí,Existe una persona exclusiva que hace las entregas,,
2/19/2021 13:59:37,Cdmx ,Entre 29 y 39 años de edad,09400,Preparas tu comida en casa,Nunca,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",Visitas el lugar y pides el menú del día,APP móvil,A veces no puedes escribir si requieres un cambio ,Pides que te lo envíen a tu domicilio,Sí,Tarjeta de debito / credito,No,,No,No pido comida de fondas ,,
2/19/2021 15:27:40,Xochimilco,Entre 29 y 39 años de edad,16750,Pides comida a alguna fondita o restaurant cercano,3 a 5 veces por semana,Comida corrida / Comida a medio día,WhatsApp,WhatsApp,No me entienden,Pides que te lo envíen a tu domicilio,Sí,"Contra entrega en efectivo, Tarjeta de debito / credito",No,todo el pueblo o colonia,Sí,Uno de los meseros o meseras,no,pues seria bueno usar la redes sociales para darse a conocer
2/19/2021 15:28:10,Cuautitlán Izclli,Entre 40 y 50 años de edad,54767,Preparas tu comida en casa,1 a 2 veces por semana,"Antojitos mexicanos (tacos, gorditas, quesadillas, etc), Comida rápida (hamburguesas, hotdogs, alitas, etc)",WhatsApp,"WhatsApp, APP móvil",No es dificil,Pides que te lo envíen a tu domicilio,Sí,"Tarjeta de debito / credito, Transferencia bancaria",Si,No hay límite de entrega ,Sí,"Existe una persona exclusiva que hace las entregas, UBER EATS",Me marcan y los guio,
2/19/2021 15:58:22,Aguascalientes,Entre 40 y 50 años de edad,20286,Preparas tu comida en casa,1 a 2 veces al mes,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",WhatsApp,Teléfono,Ninguno,Los recoges en el lugar,Sí,Contra entrega en efectivo,No,,No,"Existe una persona exclusiva que hace las entregas, UBER EATS, DIDI Food",,
2/19/2021 19:21:33,Mazatlan,Entre 18 y 28 años de edad,82110,Preparas tu comida en casa,3 a 5 veces por semana,"Comida rápida (hamburguesas, hotdogs, alitas, etc), Postres / dulces",Facebook,"Teléfono, WhatsApp",No me entienden,Pides que te lo envíen a tu domicilio,Sí,"Contra entrega en efectivo, Tarjeta de debito / credito",No,10 cuadras,Sí,"Existe una persona exclusiva que hace las entregas, UBER EATS",Marcarles y ponerme de acuerdo,Siempre tienes que andar preguntando el menu y es tardado. Me gustaria que hubiera una opcion para ya saber
2/19/2021 21:47:56,CDMX,Entre 29 y 39 años de edad,11370,Pides comida a alguna fondita o restaurant cercano,3 a 5 veces por semana,"Comida corrida / Comida a medio día, Cena ",WhatsApp,"Teléfono, WhatsApp, APP móvil",No me entienden,Pides que te lo envíen a tu domicilio,Llegan despúes de haber hecho el pedido,"Contra entrega en efectivo, Tarjeta de debito / credito",Si,Depende si pido por app,Sí,"Existe una persona exclusiva que hace las entregas, UBER EATS, DIDI Food, Rappi",,
2/20/2021 7:29:37,Zapopan,Entre 29 y 39 años de edad,45130,Preparas tu comida en casa,3 a 5 veces por mes,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",Página web,"Teléfono, APP móvil",No me entienden,Pides que te lo envíen a tu domicilio,Sí,Tarjeta de debito / credito,Si,10 cuadras,No,"Existe una persona exclusiva que hace las entregas, UBER EATS, DIDI Food",No,
2/20/2021 10:04:25,GDL,Entre 40 y 50 años de edad,45146,Preparas tu comida en casa,Nunca,Desayunos,Visitas el lugar y pides el menú del día,Teléfono,No me entienden,Los recoges en el lugar,No,Contra entrega en efectivo,No,5 cuadras,Sí,Uno de los meseros o meseras,Les marco por teléfono para saber que esta  pasando,No conozco las opciones que tengo cerca de mi casa
2/21/2021 14:37:41,Ciudad de México,Entre 40 y 50 años de edad,01000,"Ambas,preparo mi comida o pido en fonda ce rcana",Nunca,Comida corrida / Comida a medio día,WhatsApp,WhatsApp,Ningún problema,"Voy al lugar, una que otra ocasión que lo lleven a mi trabajo",Sí,Débito y/o efectivo,Si,5 cuadras,Sí,Uno de los meseros o meseras,Llamar por teléfono,
2/22/2021 0:51:55,CDMX ,Entre 40 y 50 años de edad,11430,Preparas tu comida en casa,1 a 2 veces al mes,"Comida corrida / Comida a medio día, Comida rápida (hamburguesas, hotdogs, alitas, etc)",WhatsApp,WhatsApp,Ninguno,Pides que te lo envíen a tu domicilio,Sí,Transferencia bancaria,No,10 cuadras,Sí,Existe una persona exclusiva que hace las entregas,Les doy referencias ,Ninguna
2/22/2021 11:31:58,CDMX,Entre 29 y 39 años de edad,14408,Pides comida a alguna fondita o restaurant cercano,1 a 2 veces por semana,"Desayunos, Comida corrida / Comida a medio día, Antojitos mexicanos (tacos, gorditas, quesadillas, etc), Comida rápida (hamburguesas, hotdogs, alitas, etc), Postres / dulces",Facebook,"WhatsApp, APP móvil",No me entienden,Pides que te lo envíen a tu domicilio,Sí,Tarjeta de debito / credito,Si,Depende si es por APP,Sí,"Existe una persona exclusiva que hace las entregas, UBER EATS, DIDI Food","Sí, ellos llaman.",
2/22/2021 11:45:16,CDMX,Entre 29 y 39 años de edad,14735,Preparas tu comida en casa,1 a 2 veces por semana,"Antojitos mexicanos (tacos, gorditas, quesadillas, etc), Postres / dulces",WhatsApp,WhatsApp,Ninguno,Los recoges en el lugar,Sí,"Contra entrega en efectivo, Transferencia bancaria",No,10 cuadras,Sí,Uno de los meseros o meseras,Me llaman por teléfono y les doy las indicaciones,
2/22/2021 11:45:18,CDMX,Entre 29 y 39 años de edad,14410,Preparas tu comida en casa,3 a 5 veces por semana,"Antojitos mexicanos (tacos, gorditas, quesadillas, etc), Comida rápida (hamburguesas, hotdogs, alitas, etc)",Visitas el lugar y pides el menú del día,"WhatsApp, APP móvil",No me escuchan bien,Pides que te lo envíen a tu domicilio,Sí,Tarjeta de debito / credito,Si,4 - 5 KM,Sí,UBER EATS,Siempre la encuentran,
2/22/2021 11:49:09,CDMX,Entre 29 y 39 años de edad,01540,Preparas tu comida en casa,1 a 2 veces por semana,"Comida corrida / Comida a medio día, Comida rápida (hamburguesas, hotdogs, alitas, etc)",Página web,APP móvil,No me entienden,Pides que te lo envíen a tu domicilio,Llegan despúes de haber hecho el pedido,Tarjeta de debito / credito,Si,5 cuadras,Sí,UBER EATS,hablar para orientar ,
2/22/2021 11:49:44,Tlalnepantla,Entre 29 y 39 años de edad,54190,Preparas tu comida en casa,1 a 2 veces por semana,"Comida rápida (hamburguesas, hotdogs, alitas, etc), Postres / dulces",Facebook,"Teléfono, WhatsApp, Visitan el local para hacer el pedido","Hay que escribir mucho, No me escuchan bien",Los recoges en el lugar,No,Contra entrega en efectivo,Si,8 cuadras,Sí,Uno de los meseros o meseras,ir a la lugar de comida ,
2/22/2021 11:54:13,CDMX ,Entre 29 y 39 años de edad,53840,Comes fuera de casa / trabajo,1 a 2 veces por semana,"Comida corrida / Comida a medio día, Antojitos mexicanos (tacos, gorditas, quesadillas, etc), Comida rápida (hamburguesas, hotdogs, alitas, etc)",WhatsApp,"WhatsApp, APP móvil",Hay que escribir mucho,Pides que te lo envíen a tu domicilio,No,Tarjeta de debito / credito,Si,8 cuadras,Sí,UBER EATS,,
2/22/2021 13:10:08,Cdmx ,Entre 29 y 39 años de edad,02840,Pides comida a alguna fondita o restaurant cercano,1 a 2 veces por semana,"Comida corrida / Comida a medio día, Antojitos mexicanos (tacos, gorditas, quesadillas, etc), Comida rápida (hamburguesas, hotdogs, alitas, etc)",Facebook,"WhatsApp, APP móvil",Sin problemas ,Pides que te lo envíen a tu trabajo,Llegan despúes de haber hecho el pedido,"Contra entrega en efectivo, Tarjeta de debito / credito",Si,Sin límite ,Sí,"Existe una persona exclusiva que hace las entregas, UBER EATS, DIDI Food",Llamarles ,Ninguno 
2/22/2021 13:14:34,Coyoacán,Entre 29 y 39 años de edad,04600,Preparas tu comida en casa,1 a 2 veces por semana,"Antojitos mexicanos (tacos, gorditas, quesadillas, etc), Comida rápida (hamburguesas, hotdogs, alitas, etc)",Facebook,APP móvil,no he tenido problemas,Pides que te lo envíen a tu domicilio,Sí,Tarjeta de debito / credito,Si,10 cuadras,Sí,"UBER EATS, DIDI Food",No me ha pasado,No he tenido limitaciones
2/22/2021 17:22:47,Monterrey,Entre 18 y 28 años de edad,64349,Comes fuera de casa / trabajo,1 a 2 veces por semana,Comida corrida / Comida a medio día,Instagram,APP móvil,Hay que escribir mucho,Pides que te lo envíen a tu domicilio,Llegan despúes de haber hecho el pedido,Tarjeta de debito / credito,Si,8 cuadras,Sí,"UBER EATS, DIDI Food",Les tengo que explicar con texto el cómo llegar,Ningún otro comentario
2/22/2021 20:03:53,Estado de México,Entre 29 y 39 años de edad,54020,Preparas tu comida en casa,1 a 2 veces al mes,"Antojitos mexicanos (tacos, gorditas, quesadillas, etc), Sushi",Página web,"Teléfono, WhatsApp, APP móvil",No me entienden,Pides que te lo envíen a tu domicilio,Sí,"Contra entrega en efectivo, Tarjeta de debito / credito",No,10 cuadras,Sí,"Existe una persona exclusiva que hace las entregas, UBER EATS",Pongo referencias,
2/22/2021 20:22:22,CDMX,Entre 29 y 39 años de edad,54020,Preparas tu comida en casa,1 a 2 veces por semana,"Antojitos mexicanos (tacos, gorditas, quesadillas, etc), Comida rápida (hamburguesas, hotdogs, alitas, etc)",WhatsApp,"WhatsApp, APP móvil",La variedad del menú todo se antoja,Pides que te lo envíen a tu domicilio,Llegan despúes de haber hecho el pedido,Tarjeta de debito / credito,Si,Depende de la aplicación ,Sí,"Existe una persona exclusiva que hace las entregas, UBER EATS, DIDI Food",Llamar por el celular,
2/23/2021 12:39:35,Nezahualcóyotl ,Entre 18 y 28 años de edad,03810,Preparas tu comida en casa,1 a 2 veces por semana,"Comida corrida / Comida a medio día, Comida rápida (hamburguesas, hotdogs, alitas, etc)",Página web,Teléfono,No me entienden,Pides que te lo envíen a tu trabajo,Sí,Contra entrega en efectivo,Si,Desconozco ,Sí,"Existe una persona exclusiva que hace las entregas, UBER EATS",Llamar de vuelta ,No
2/24/2021 1:32:08,Guadalajara ,Entre 18 y 28 años de edad,44840,Pides comida a alguna fondita o restaurant cercano,3 a 5 veces por semana,Comida corrida / Comida a medio día,Visitas el lugar y pides el menú del día,Visitan el local para hacer el pedido,... ,Pides que te lo envíen a tu trabajo,Llegan despúes de haber hecho el pedido,Contra entrega en efectivo,No,5 cuadras,Sí,Existe una persona exclusiva que hace las entregas,... ,... 
2/24/2021 15:47:23,Zapopan,Entre 29 y 39 años de edad,45020,Preparas tu comida en casa,1 a 2 veces por semana,"Comida corrida / Comida a medio día, Comida rápida (hamburguesas, hotdogs, alitas, etc)",Facebook,"Teléfono, Visitan el local para hacer el pedido, APP móvil",Hay que escribir mucho,Pides que te lo envíen a tu domicilio,No,"Contra entrega en efectivo, Tarjeta de debito / credito",Si,10 cuadras,Sí,"Existe una persona exclusiva que hace las entregas, UBER EATS, DIDI Food",Nos comunicamos telefónicamente. ,
2/24/2021 17:17:44,Chetumal,Entre 29 y 39 años de edad,77080,Preparas tu comida en casa,1 a 2 veces por semana,Comida corrida / Comida a medio día,Facebook,"Teléfono, WhatsApp","Hay que escribir mucho, No me escuchan bien",Los recoges en el lugar,No,Contra entrega en efectivo,Si,8 cuadras,Sí,Existe una persona exclusiva que hace las entregas,Enojarme y marcar para pedir informes,No hay una aplicación que indexe los locales de comida en mi ciudad
2/26/2021 11:13:11,CDMX,Entre 18 y 28 años de edad,07620,Pides comida a alguna fondita o restaurant cercano,3 a 5 veces por semana,"Comida corrida / Comida a medio día, Antojitos mexicanos (tacos, gorditas, quesadillas, etc)",WhatsApp,"WhatsApp, APP móvil",No me entienden,Pides que te lo envíen a tu domicilio,Sí,"Contra entrega en efectivo, Transferencia bancaria",Si,8 cuadras,Sí,"Existe una persona exclusiva que hace las entregas, UBER EATS, DIDI Food",,